"TIME","GEO","UNIT","PERS_INV","Value","Flag and Footnotes"
"2001","Belgium","Number","Passengers","274",""
"2001","Belgium","Number","Drivers","1,054",""
"2001","Belgium","Number","Pedestrians","158",""
"2001","Bulgaria","Number","Passengers",":",""
"2001","Bulgaria","Number","Drivers",":",""
"2001","Bulgaria","Number","Pedestrians",":",""
"2001","Czechia","Number","Passengers","315",""
"2001","Czechia","Number","Drivers","696",""
"2001","Czechia","Number","Pedestrians","322",""
"2001","Denmark","Number","Passengers","82",""
"2001","Denmark","Number","Drivers","299",""
"2001","Denmark","Number","Pedestrians","49",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Passengers","1,244",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Drivers","4,833",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Pedestrians","900",""
"2001","Estonia","Number","Passengers",":",""
"2001","Estonia","Number","Drivers",":",""
"2001","Estonia","Number","Pedestrians",":",""
"2001","Ireland","Number","Passengers","106",""
"2001","Ireland","Number","Drivers","217",""
"2001","Ireland","Number","Pedestrians","89",""
"2001","Greece","Number","Passengers","411",""
"2001","Greece","Number","Drivers","1,131",""
"2001","Greece","Number","Pedestrians","338",""
"2001","Spain","Number","Passengers","1,431",""
"2001","Spain","Number","Drivers","3,202",""
"2001","Spain","Number","Pedestrians","845",""
"2001","France","Number","Passengers","1,713",""
"2001","France","Number","Drivers","5,605",""
"2001","France","Number","Pedestrians","818",""
"2001","Croatia","Number","Passengers",":",""
"2001","Croatia","Number","Drivers",":",""
"2001","Croatia","Number","Pedestrians",":",""
"2001","Italy","Number","Passengers","1,541",""
"2001","Italy","Number","Drivers","4,523",""
"2001","Italy","Number","Pedestrians","1,032",""
"2001","Cyprus","Number","Passengers",":",""
"2001","Cyprus","Number","Drivers",":",""
"2001","Cyprus","Number","Pedestrians",":",""
"2001","Latvia","Number","Passengers",":",""
"2001","Latvia","Number","Drivers",":",""
"2001","Latvia","Number","Pedestrians",":",""
"2001","Lithuania","Number","Passengers",":",""
"2001","Lithuania","Number","Drivers",":",""
"2001","Lithuania","Number","Pedestrians",":",""
"2001","Luxembourg","Number","Passengers","15",""
"2001","Luxembourg","Number","Drivers","44",""
"2001","Luxembourg","Number","Pedestrians","11",""
"2001","Hungary","Number","Passengers",":",""
"2001","Hungary","Number","Drivers",":",""
"2001","Hungary","Number","Pedestrians",":",""
"2001","Malta","Number","Passengers",":",""
"2001","Malta","Number","Drivers",":",""
"2001","Malta","Number","Pedestrians",":",""
"2001","Netherlands","Number","Passengers","139",""
"2001","Netherlands","Number","Drivers","748",""
"2001","Netherlands","Number","Pedestrians","106",""
"2001","Austria","Number","Passengers","182",""
"2001","Austria","Number","Drivers","659",""
"2001","Austria","Number","Pedestrians","117",""
"2001","Poland","Number","Passengers","1,280",""
"2001","Poland","Number","Drivers","2,388",""
"2001","Poland","Number","Pedestrians","1,866",""
"2001","Portugal","Number","Passengers","370",""
"2001","Portugal","Number","Drivers","952",""
"2001","Portugal","Number","Pedestrians","333",""
"2001","Romania","Number","Passengers","588",""
"2001","Romania","Number","Drivers","774",""
"2001","Romania","Number","Pedestrians","1,088",""
"2001","Slovenia","Number","Passengers","60",""
"2001","Slovenia","Number","Drivers","175",""
"2001","Slovenia","Number","Pedestrians","42",""
"2001","Slovakia","Number","Passengers","139",""
"2001","Slovakia","Number","Drivers","288",""
"2001","Slovakia","Number","Pedestrians","198",""
"2001","Finland","Number","Passengers","89",""
"2001","Finland","Number","Drivers","282",""
"2001","Finland","Number","Pedestrians","62",""
"2001","Sweden","Number","Passengers","125",""
"2001","Sweden","Number","Drivers","371",""
"2001","Sweden","Number","Pedestrians","87",""
"2001","United Kingdom","Number","Passengers","694",""
"2001","United Kingdom","Number","Drivers","2,046",""
"2001","United Kingdom","Number","Pedestrians","858",""
"2001","Iceland","Number","Passengers",":",""
"2001","Iceland","Number","Drivers",":",""
"2001","Iceland","Number","Pedestrians",":",""
"2001","Liechtenstein","Number","Passengers",":",""
"2001","Liechtenstein","Number","Drivers",":",""
"2001","Liechtenstein","Number","Pedestrians",":",""
"2001","Norway","Number","Passengers","62",""
"2001","Norway","Number","Drivers","168",""
"2001","Norway","Number","Pedestrians","45",""
"2001","Switzerland","Number","Passengers","66",""
"2001","Switzerland","Number","Drivers","374",""
"2001","Switzerland","Number","Pedestrians","104",""
"2002","Belgium","Number","Passengers","216",""
"2002","Belgium","Number","Drivers","962",""
"2002","Belgium","Number","Pedestrians","127",""
"2002","Bulgaria","Number","Passengers",":",""
"2002","Bulgaria","Number","Drivers",":",""
"2002","Bulgaria","Number","Pedestrians",":",""
"2002","Czechia","Number","Passengers","331",""
"2002","Czechia","Number","Drivers","791",""
"2002","Czechia","Number","Pedestrians","308",""
"2002","Denmark","Number","Passengers","90",""
"2002","Denmark","Number","Drivers","310",""
"2002","Denmark","Number","Pedestrians","63",""
