"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2001","Belgium","Number","Total","1,486",""
"2001","Belgium","Number","Mopeds","63",""
"2001","Belgium","Number","Motorcycles not specified","147",""
"2001","Belgium","Number","Passenger cars","899",""
"2001","Belgium","Number","Motor coaches, buses and trolley buses",":",""
"2001","Belgium","Number","Bicycles","130",""
"2001","Bulgaria","Number","Total","1,011",""
"2001","Bulgaria","Number","Mopeds",":",""
"2001","Bulgaria","Number","Motorcycles not specified",":",""
"2001","Bulgaria","Number","Passenger cars",":",""
"2001","Bulgaria","Number","Motor coaches, buses and trolley buses",":",""
"2001","Bulgaria","Number","Bicycles",":",""
"2001","Czechia","Number","Total","1,333",""
"2001","Czechia","Number","Mopeds","9",""
"2001","Czechia","Number","Motorcycles not specified","86",""
"2001","Czechia","Number","Passenger cars","715",""
"2001","Czechia","Number","Motor coaches, buses and trolley buses",":",""
"2001","Czechia","Number","Bicycles","141",""
"2001","Denmark","Number","Total","431",""
"2001","Denmark","Number","Mopeds","43",""
"2001","Denmark","Number","Motorcycles not specified","12",""
"2001","Denmark","Number","Passenger cars","242",""
"2001","Denmark","Number","Motor coaches, buses and trolley buses",":",""
"2001","Denmark","Number","Bicycles","56",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Total","6,977",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Mopeds","138",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Motorcycles not specified","964",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","4,023",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Motor coaches, buses and trolley buses",":",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Bicycles","635",""
"2001","Estonia","Number","Total","199",""
"2001","Estonia","Number","Mopeds",":",""
"2001","Estonia","Number","Motorcycles not specified",":",""
"2001","Estonia","Number","Passenger cars",":",""
"2001","Estonia","Number","Motor coaches, buses and trolley buses",":",""
"2001","Estonia","Number","Bicycles",":",""
"2001","Ireland","Number","Total","412",""
"2001","Ireland","Number","Mopeds",":",""
"2001","Ireland","Number","Motorcycles not specified","50",""
"2001","Ireland","Number","Passenger cars","231",""
"2001","Ireland","Number","Motor coaches, buses and trolley buses",":",""
"2001","Ireland","Number","Bicycles","12",""
"2001","Greece","Number","Total","1,880",""
"2001","Greece","Number","Mopeds","77",""
"2001","Greece","Number","Motorcycles not specified","426",""
"2001","Greece","Number","Passenger cars","803",""
"2001","Greece","Number","Motor coaches, buses and trolley buses",":",""
"2001","Greece","Number","Bicycles","29",""
"2001","Spain","Number","Total","5,478",""
"2001","Spain","Number","Mopeds","455",""
"2001","Spain","Number","Motorcycles not specified","365",""
"2001","Spain","Number","Passenger cars","3,140",""
"2001","Spain","Number","Motor coaches, buses and trolley buses",":",""
"2001","Spain","Number","Bicycles","97",""
"2001","France","Number","Total","8,136",""
"2001","France","Number","Mopeds","447",""
"2001","France","Number","Motorcycles not specified","1,086",""
"2001","France","Number","Passenger cars","5,284",""
"2001","France","Number","Motor coaches, buses and trolley buses",":",""
"2001","France","Number","Bicycles","253",""
"2001","Croatia","Number","Total","647",""
"2001","Croatia","Number","Mopeds",":",""
"2001","Croatia","Number","Motorcycles not specified",":",""
