"TIME","GEO","UNIT","AGE","Value","Flag and Footnotes"
"2001","Belgium","Number","Less than 15 years","63",""
"2001","Belgium","Number","From 15 to 17 years","46",""
"2001","Belgium","Number","From 18 to 24 years","281",""
"2001","Belgium","Number","From 25 to 49 years","632",""
"2001","Belgium","Number","From 50 to 64 years","192",""
"2001","Belgium","Number","65 years or over","264",""
"2001","Bulgaria","Number","Less than 15 years",":",""
"2001","Bulgaria","Number","From 15 to 17 years",":",""
"2001","Bulgaria","Number","From 18 to 24 years",":",""
"2001","Bulgaria","Number","From 25 to 49 years",":",""
"2001","Bulgaria","Number","From 50 to 64 years",":",""
"2001","Bulgaria","Number","65 years or over",":",""
"2001","Czechia","Number","Less than 15 years","38",""
"2001","Czechia","Number","From 15 to 17 years","37",""
"2001","Czechia","Number","From 18 to 24 years","236",""
"2001","Czechia","Number","From 25 to 49 years","519",""
"2001","Czechia","Number","From 50 to 64 years","252",""
"2001","Czechia","Number","65 years or over","241",""
"2001","Denmark","Number","Less than 15 years","21",""
"2001","Denmark","Number","From 15 to 17 years","23",""
"2001","Denmark","Number","From 18 to 24 years","68",""
"2001","Denmark","Number","From 25 to 49 years","147",""
"2001","Denmark","Number","From 50 to 64 years","70",""
"2001","Denmark","Number","65 years or over","102",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Less than 15 years","231",""
"2001","Germany (until 1990 former territory of the FRG)","Number","From 15 to 17 years","286",""
"2001","Germany (until 1990 former territory of the FRG)","Number","From 18 to 24 years","1,606",""
"2001","Germany (until 1990 former territory of the FRG)","Number","From 25 to 49 years","2,591",""
"2001","Germany (until 1990 former territory of the FRG)","Number","From 50 to 64 years","980",""
"2001","Germany (until 1990 former territory of the FRG)","Number","65 years or over","1,283",""
"2001","Estonia","Number","Less than 15 years",":",""
"2001","Estonia","Number","From 15 to 17 years",":",""
"2001","Estonia","Number","From 18 to 24 years",":",""
"2001","Estonia","Number","From 25 to 49 years",":",""
"2001","Estonia","Number","From 50 to 64 years",":",""
"2001","Estonia","Number","65 years or over",":",""
"2001","Ireland","Number","Less than 15 years","26",""
"2001","Ireland","Number","From 15 to 17 years","19",""
"2001","Ireland","Number","From 18 to 24 years","114",""
"2001","Ireland","Number","From 25 to 49 years","152",""
"2001","Ireland","Number","From 50 to 64 years","45",""
"2001","Ireland","Number","65 years or over","47",""
"2001","Greece","Number","Less than 15 years","47",""
"2001","Greece","Number","From 15 to 17 years","51",""
"2001","Greece","Number","From 18 to 24 years","385",""
"2001","Greece","Number","From 25 to 49 years","697",""
"2001","Greece","Number","From 50 to 64 years","284",""
"2001","Greece","Number","65 years or over","385",""
"2001","Spain","Number","Less than 15 years","158",""
"2001","Spain","Number","From 15 to 17 years","197",""
"2001","Spain","Number","From 18 to 24 years","967",""
"2001","Spain","Number","From 25 to 49 years","2,343",""
"2001","Spain","Number","From 50 to 64 years","806",""
"2001","Spain","Number","65 years or over","860",""
"2001","France","Number","Less than 15 years","273",""
"2001","France","Number","From 15 to 17 years","321",""
"2001","France","Number","From 18 to 24 years","1,802",""
"2001","France","Number","From 25 to 49 years","3,275",""
"2001","France","Number","From 50 to 64 years","990",""
"2001","France","Number","65 years or over","1,391",""
"2001","Croatia","Number","Less than 15 years",":",""
"2001","Croatia","Number","From 15 to 17 years",":",""
"2001","Croatia","Number","From 18 to 24 years",":",""
"2001","Croatia","Number","From 25 to 49 years",":",""
"2001","Croatia","Number","From 50 to 64 years",":",""
"2001","Croatia","Number","65 years or over",":",""
