"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2001","Belgium","Total","Total","Number","10,263,414",""
"2001","Bulgaria","Total","Total","Number","8,149,468",""
"2001","Czechia","Total","Total","Number","10,232,027",""
"2001","Denmark","Total","Total","Number","5,349,212",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,259,540",""
"2001","Estonia","Total","Total","Number","1,392,720",""
"2001","Ireland","Total","Total","Number","3,832,783",""
"2001","Greece","Total","Total","Number","10,835,989",""
"2001","Spain","Total","Total","Number","40,665,545",""
"2001","France","Total","Total","Number","60,979,315",""
"2001","France (metropolitan)","Total","Total","Number","59,266,572",""
"2001","Croatia","Total","Total","Number","4,295,406","b"
"2001","Italy","Total","Total","Number","56,960,692",""
"2001","Cyprus","Total","Total","Number","697,549",""
"2001","Latvia","Total","Total","Number","2,353,384",""
"2001","Lithuania","Total","Total","Number","3,486,998",""
"2001","Luxembourg","Total","Total","Number","439,000",""
"2001","Hungary","Total","Total","Number","10,200,298",""
"2001","Malta","Total","Total","Number","391,415",""
"2001","Netherlands","Total","Total","Number","15,987,075",""
"2001","Austria","Total","Total","Number","8,020,946",""
"2001","Poland","Total","Total","Number","38,253,955",""
"2001","Portugal","Total","Total","Number","10,330,774",""
"2001","Romania","Total","Total","Number","22,430,457",""
"2001","Slovenia","Total","Total","Number","1,990,094",""
"2001","Slovakia","Total","Total","Number","5,378,783",""
"2001","Finland","Total","Total","Number","5,181,115",""
"2001","Sweden","Total","Total","Number","8,882,792",""
"2001","United Kingdom","Total","Total","Number","58,999,781",""
"2001","Iceland","Total","Total","Number","283,361",""
"2001","Liechtenstein","Total","Total","Number","32,863",""
"2001","Norway","Total","Total","Number","4,503,436",""
"2001","Switzerland","Total","Total","Number","7,204,055",""
"2001","Montenegro","Total","Total","Number","605,988",""
"2001","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,031,112",""
"2001","Albania","Total","Total","Number","3,063,318",""
"2001","Serbia","Total","Total","Number","7,504,739",""
"2001","Turkey","Total","Total","Number","64,729,501","b"
"2001","Andorra","Total","Total","Number","65,844",""
"2001","Belarus","Total","Total","Number","9,990,435",""
"2001","Bosnia and Herzegovina","Total","Total","Number","3,789,717","e"
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":",""
"2001","Moldova","Total","Total","Number","3,635,112",""
"2001","Monaco","Total","Total","Number",":",""
"2001","Russia","Total","Total","Number","146,303,611",""
"2001","San Marino","Total","Total","Number",":",""
"2001","Ukraine","Total","Total","Number","48,663,609",""
"2001","Armenia","Total","Total","Number","3,215,300",""
"2001","Azerbaijan","Total","Total","Number","8,081,000",""
"2001","Georgia","Total","Total","Number","4,401,400","e"
"2002","Belgium","Total","Total","Number","10,309,725",""
"2002","Bulgaria","Total","Total","Number","7,868,815",""
"2002","Czechia","Total","Total","Number","10,201,182",""
"2002","Denmark","Total","Total","Number","5,368,354",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,440,309",""
"2002","Estonia","Total","Total","Number","1,383,510",""
"2002","Ireland","Total","Total","Number","3,899,702",""
"2002","Greece","Total","Total","Number","10,888,274",""
"2002","Spain","Total","Total","Number","41,035,278",""
"2002","France","Total","Total","Number","61,424,036",""
"2002","France (metropolitan)","Total","Total","Number","59,685,899",""
"2002","Croatia","Total","Total","Number","4,305,494",""
"2002","Italy","Total","Total","Number","56,987,507",""
"2002","Cyprus","Total","Total","Number","705,539",""
"2002","Latvia","Total","Total","Number","2,320,956",""
"2002","Lithuania","Total","Total","Number","3,454,637",""
"2002","Luxembourg","Total","Total","Number","444,050",""
"2002","Hungary","Total","Total","Number","10,174,853",""
"2002","Malta","Total","Total","Number","394,641",""
"2002","Netherlands","Total","Total","Number","16,105,285",""
"2002","Austria","Total","Total","Number","8,063,640",""
"2002","Poland","Total","Total","Number","38,242,197",""
"2002","Portugal","Total","Total","Number","10,394,669",""
"2002","Romania","Total","Total","Number","21,833,483",""
"2002","Slovenia","Total","Total","Number","1,994,026",""
"2002","Slovakia","Total","Total","Number","5,378,951",""
"2002","Finland","Total","Total","Number","5,194,901",""
"2002","Sweden","Total","Total","Number","8,909,128",""
"2002","United Kingdom","Total","Total","Number","59,239,564",""
"2002","Iceland","Total","Total","Number","286,575",""
"2002","Liechtenstein","Total","Total","Number","33,525",""
"2002","Norway","Total","Total","Number","4,524,066",""
"2002","Switzerland","Total","Total","Number","7,255,653",""
"2002","Montenegro","Total","Total","Number","608,460",""
"2002","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,038,651",""
"2002","Albania","Total","Total","Number","3,057,018",""
"2002","Serbia","Total","Total","Number","7,502,126",""
"2002","Turkey","Total","Total","Number","65,603,160",""
"2002","Andorra","Total","Total","Number","66,334",""
"2002","Belarus","Total","Total","Number","9,950,941",""
