"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2001","Belgium","Motorways","Kilometre","1,727",""
"2001","Belgium","Other roads","Kilometre","142,398",""
"2001","Bulgaria","Motorways","Kilometre",":",""
"2001","Bulgaria","Other roads","Kilometre",":",""
"2001","Czechia","Motorways","Kilometre","518",""
"2001","Czechia","Other roads","Kilometre","54,909",""
"2001","Denmark","Motorways","Kilometre","972",""
"2001","Denmark","Other roads","Kilometre","70,918",""
"2001","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","11,786",""
"2001","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","219,062",""
"2001","Estonia","Motorways","Kilometre","93",""
"2001","Estonia","Other roads","Kilometre","56,229",""
"2001","Ireland","Motorways","Kilometre","125",""
"2001","Ireland","Other roads","Kilometre","95,611",""
"2001","Greece","Motorways","Kilometre",":",""
"2001","Greece","Other roads","Kilometre",":",""
"2001","Spain","Motorways","Kilometre","9,571",""
"2001","Spain","Other roads","Kilometre","154,228",""
"2001","France","Motorways","Kilometre","10,062",""
"2001","France","Other roads","Kilometre","995,911",""
"2001","Croatia","Motorways","Kilometre","429",""
"2001","Croatia","Other roads","Kilometre","27,846",""
"2001","Italy","Motorways","Kilometre","6,479",""
"2001","Italy","Other roads","Kilometre","161,248",""
"2001","Cyprus","Motorways","Kilometre","257",""
"2001","Cyprus","Other roads","Kilometre","11,151",""
"2001","Latvia","Motorways","Kilometre","0",""
"2001","Latvia","Other roads","Kilometre","60,639",""
"2001","Lithuania","Motorways","Kilometre","417",""
"2001","Lithuania","Other roads","Kilometre","76,156",""
"2001","Luxembourg","Motorways","Kilometre","115",""
"2001","Luxembourg","Other roads","Kilometre","2,863",""
"2001","Hungary","Motorways","Kilometre","448",""
"2001","Hungary","Other roads","Kilometre","29,874",""
"2001","Malta","Motorways","Kilometre",":","z"
"2001","Malta","Other roads","Kilometre","2,254",""
"2001","Netherlands","Motorways","Kilometre","2,497",""
"2001","Netherlands","Other roads","Kilometre","127,948",""
"2001","Austria","Motorways","Kilometre","1,633",""
"2001","Austria","Other roads","Kilometre","105,367",""
"2001","Poland","Motorways","Kilometre","398",""
"2001","Poland","Other roads","Kilometre","377,289",""
"2001","Portugal","Motorways","Kilometre","1,659",""
"2001","Portugal","Other roads","Kilometre",":",""
"2001","Romania","Motorways","Kilometre","113",""
"2001","Romania","Other roads","Kilometre","78,379",""
"2001","Slovenia","Motorways","Kilometre","435",""
"2001","Slovenia","Other roads","Kilometre","38,139",""
"2001","Slovakia","Motorways","Kilometre","296",""
"2001","Slovakia","Other roads","Kilometre","42,660",""
"2001","Finland","Motorways","Kilometre","591",""
"2001","Finland","Other roads","Kilometre","78,379",""
"2001","Sweden","Motorways","Kilometre","1,507",""
"2001","Sweden","Other roads","Kilometre","96,733",""
"2001","United Kingdom","Motorways","Kilometre","3,591",""
"2001","United Kingdom","Other roads","Kilometre","412,119",""
"2001","Liechtenstein","Motorways","Kilometre",":",""
"2001","Liechtenstein","Other roads","Kilometre","401",""
"2001","Norway","Motorways","Kilometre",":",""
"2001","Norway","Other roads","Kilometre",":",""
"2001","Switzerland","Motorways","Kilometre","1,305",""
"2001","Switzerland","Other roads","Kilometre","69,881",""
"2001","Turkey","Motorways","Kilometre","1,839",""
"2001","Turkey","Other roads","Kilometre","352,522",""
"2002","Belgium","Motorways","Kilometre","1,729",""
"2002","Belgium","Other roads","Kilometre","142,398",""
"2002","Bulgaria","Motorways","Kilometre",":",""
"2002","Bulgaria","Other roads","Kilometre",":",""
"2002","Czechia","Motorways","Kilometre","518",""
"2002","Czechia","Other roads","Kilometre","54,904",""
"2002","Denmark","Motorways","Kilometre","1,010",""
"2002","Denmark","Other roads","Kilometre","70,941",""
"2002","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,037",""
"2002","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","219,544",""
"2002","Estonia","Motorways","Kilometre","98",""
"2002","Estonia","Other roads","Kilometre","56,008",""
"2002","Ireland","Motorways","Kilometre","125",""
"2002","Ireland","Other roads","Kilometre","95,627",""
"2002","Greece","Motorways","Kilometre",":",""
"2002","Greece","Other roads","Kilometre",":",""
"2002","Spain","Motorways","Kilometre","9,739",""
"2002","Spain","Other roads","Kilometre","154,400",""
"2002","France","Motorways","Kilometre","10,220",""
"2002","France","Other roads","Kilometre","993,023",""
"2002","Croatia","Motorways","Kilometre","455",""
"2002","Croatia","Other roads","Kilometre","27,889",""
"2002","Italy","Motorways","Kilometre","6,487",""
"2002","Italy","Other roads","Kilometre","148,768",""
"2002","Cyprus","Motorways","Kilometre","268",""
"2002","Cyprus","Other roads","Kilometre","11,325",""
"2002","Latvia","Motorways","Kilometre","0",""
"2002","Latvia","Other roads","Kilometre","60,472",""
"2002","Lithuania","Motorways","Kilometre","417",""
"2002","Lithuania","Other roads","Kilometre","76,760",""
"2002","Luxembourg","Motorways","Kilometre","126",""
"2002","Luxembourg","Other roads","Kilometre","2,854",""
"2002","Hungary","Motorways","Kilometre","533",""
"2002","Hungary","Other roads","Kilometre","29,927",""
"2002","Malta","Motorways","Kilometre",":","z"
"2002","Malta","Other roads","Kilometre","2,271",""
"2002","Netherlands","Motorways","Kilometre","2,517",""
"2002","Netherlands","Other roads","Kilometre","129,013",""
"2002","Austria","Motorways","Kilometre","1,644",""
"2002","Austria","Other roads","Kilometre","105,356",""
"2002","Poland","Motorways","Kilometre","405",""
"2002","Poland","Other roads","Kilometre","371,934",""
"2002","Portugal","Motorways","Kilometre","1,835",""
"2002","Portugal","Other roads","Kilometre",":",""
"2002","Romania","Motorways","Kilometre","113",""
"2002","Romania","Other roads","Kilometre","78,783",""
"2002","Slovenia","Motorways","Kilometre","456",""
"2002","Slovenia","Other roads","Kilometre","38,065",""
"2002","Slovakia","Motorways","Kilometre","307",""
"2002","Slovakia","Other roads","Kilometre","42,668",""
"2002","Finland","Motorways","Kilometre","603",""
"2002","Finland","Other roads","Kilometre","78,446",""
"2002","Sweden","Motorways","Kilometre","1,545",""
"2002","Sweden","Other roads","Kilometre","96,747",""
"2002","United Kingdom","Motorways","Kilometre","3,592",""
"2002","United Kingdom","Other roads","Kilometre","412,859",""
"2002","Liechtenstein","Motorways","Kilometre",":",""
"2002","Liechtenstein","Other roads","Kilometre","401",""
"2002","Norway","Motorways","Kilometre",":",""
"2002","Norway","Other roads","Kilometre",":",""
"2002","Switzerland","Motorways","Kilometre","1,304",""
"2002","Switzerland","Other roads","Kilometre","69,888",""
"2002","Turkey","Motorways","Kilometre","1,845",""
"2002","Turkey","Other roads","Kilometre","352,570",""
"2003","Belgium","Motorways","Kilometre","1,729",""
"2003","Belgium","Other roads","Kilometre","142,398",""
"2003","Bulgaria","Motorways","Kilometre",":",""
"2003","Bulgaria","Other roads","Kilometre",":",""
"2003","Czechia","Motorways","Kilometre","518",""
"2003","Czechia","Other roads","Kilometre","54,929",""
"2003","Denmark","Motorways","Kilometre","1,027",""
"2003","Denmark","Other roads","Kilometre","71,048",""
"2003","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,044",""
"2003","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","219,376",""
"2003","Estonia","Motorways","Kilometre","98",""
"2003","Estonia","Other roads","Kilometre","56,862",""
"2003","Ireland","Motorways","Kilometre","176",""
"2003","Ireland","Other roads","Kilometre","95,843",""
"2003","Greece","Motorways","Kilometre",":",""
"2003","Greece","Other roads","Kilometre",":",""
"2003","Spain","Motorways","Kilometre","10,299",""
"2003","Spain","Other roads","Kilometre","154,285",""
