"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2001","Belgium","Thousand","460",""
"2001","Bulgaria","Thousand","265",""
"2001","Czechia","Thousand","346",""
"2001","Denmark","Thousand","349",""
"2001","Germany (until 1990 former territory of the FRG)","Thousand","538",""
"2001","Estonia","Thousand","294",""
"2001","Ireland","Thousand","360",""
"2001","Greece","Thousand","314",""
"2001","Spain","Thousand","442","d"
"2001","France","Thousand","467","d"
"2001","Croatia","Thousand","275",""
"2001","Italy","Thousand","583",""
"2001","Cyprus","Thousand","397",""
"2001","Latvia","Thousand","253",""
"2001","Lithuania","Thousand","328","d"
"2001","Luxembourg","Thousand","633",""
"2001","Hungary","Thousand","244",""
"2001","Malta","Thousand","495",""
"2001","Netherlands","Thousand","417",""
"2001","Austria","Thousand","519",""
"2001","Poland","Thousand","275",""
"2001","Portugal","Thousand","533","d"
"2001","Romania","Thousand","148",""
"2001","Slovenia","Thousand","444",""
"2001","Slovakia","Thousand","240",""
"2001","Finland","Thousand","416","d"
"2001","Sweden","Thousand","451",""
"2001","United Kingdom","Thousand","435",""
"2001","Iceland","Thousand","558",""
"2001","Liechtenstein","Thousand","675","d"
"2001","Norway","Thousand",":",""
"2001","Switzerland","Thousand","500",""
"2001","Former Yugoslav Republic of Macedonia, the","Thousand","152",""
"2001","Turkey","Thousand","69",""
"2002","Belgium","Thousand","462",""
"2002","Bulgaria","Thousand","279",""
"2002","Czechia","Thousand","358",""
"2002","Denmark","Thousand","351",""
"2002","Germany (until 1990 former territory of the FRG)","Thousand","541",""
"2002","Estonia","Thousand","291",""
"2002","Ireland","Thousand","371",""
"2002","Greece","Thousand","334",""
"2002","Spain","Thousand","448","d"
"2002","France","Thousand","471","d"
"2002","Croatia","Thousand","285",""
"2002","Italy","Thousand","590",""
"2002","Cyprus","Thousand","404",""
"2002","Latvia","Thousand","269",""
"2002","Lithuania","Thousand","344","d"
"2002","Luxembourg","Thousand","640",""
"2002","Hungary","Thousand","259",""
"2002","Malta","Thousand","508",""
"2002","Netherlands","Thousand","423",""
"2002","Austria","Thousand","492","b"
"2002","Poland","Thousand","289",""
"2002","Portugal","Thousand","554","d"
"2002","Romania","Thousand","137",""
"2002","Slovenia","Thousand","458",""
"2002","Slovakia","Thousand","247",""
"2002","Finland","Thousand","422","d"
"2002","Sweden","Thousand","452",""
"2002","United Kingdom","Thousand","445",""
"2002","Iceland","Thousand","562",""
"2002","Liechtenstein","Thousand","679",""
"2002","Norway","Thousand",":",""
"2002","Switzerland","Thousand","506",""
"2002","Former Yugoslav Republic of Macedonia, the","Thousand","152",""
"2002","Turkey","Thousand","69",""
"2003","Belgium","Thousand","464",""
"2003","Bulgaria","Thousand","298",""
"2003","Czechia","Thousand","364",""
"2003","Denmark","Thousand",":",""
"2003","Germany (until 1990 former territory of the FRG)","Thousand","546",""
"2003","Estonia","Thousand","318",""
"2003","Ireland","Thousand","380",""
"2003","Greece","Thousand","351",""
"2003","Spain","Thousand","439",""
"2003","France","Thousand","475","d"
"2003","Croatia","Thousand","298",""
"2003","Italy","Thousand","597",""
"2003","Cyprus","Thousand","419",""
"2003","Latvia","Thousand","285",""
"2003","Lithuania","Thousand","370","d"
"2003","Luxembourg","Thousand","644",""
"2003","Hungary","Thousand","274",""
"2003","Malta","Thousand",":",""
"2003","Netherlands","Thousand","425",""
"2003","Austria","Thousand","498",""
"2003","Poland","Thousand","294",""
"2003","Portugal","Thousand",":",""
"2003","Romania","Thousand",":",""
"2003","Slovenia","Thousand","446",""
"2003","Slovakia","Thousand","252",""
"2003","Finland","Thousand","436","d"
"2003","Sweden","Thousand","454",""
"2003","United Kingdom","Thousand","451",""
"2003","Iceland","Thousand","575",""
"2003","Liechtenstein","Thousand","686",""
"2003","Norway","Thousand",":",""
"2003","Switzerland","Thousand","510",""
"2003","Former Yugoslav Republic of Macedonia, the","Thousand",":",""
"2003","Turkey","Thousand","70",""
"2004","Belgium","Thousand","467",""
"2004","Bulgaria","Thousand","317",""
"2004","Czechia","Thousand","374",""
"2004","Denmark","Thousand",":",""
"2004","Germany (until 1990 former territory of the FRG)","Thousand","550",""
"2004","Estonia","Thousand","347",""
"2004","Ireland","Thousand","385",""
"2004","Greece","Thousand","371",""
"2004","Spain","Thousand","451","d"
"2004","France","Thousand","476","d"
"2004","Croatia","Thousand","308",""
"2004","Italy","Thousand","587",""
"2004","Cyprus","Thousand","458",""
"2004","Latvia","Thousand","305",""
"2004","Lithuania","Thousand","392","d"
"2004","Luxembourg","Thousand","648",""
"2004","Hungary","Thousand","280",""
"2004","Malta","Thousand",":",""
"2004","Netherlands","Thousand","429",""
"2004","Austria","Thousand","501",""
"2004","Poland","Thousand","314",""
"2004","Portugal","Thousand",":",""
"2004","Romania","Thousand","151",""
"2004","Slovenia","Thousand","456",""
"2004","Slovakia","Thousand","223",""
"2004","Finland","Thousand","448","d"
"2004","Sweden","Thousand","456",""
"2004","United Kingdom","Thousand","461","d"
"2004","Iceland","Thousand","596","e"
"2004","Liechtenstein","Thousand","692",""
"2004","Norway","Thousand","429",""
"2004","Switzerland","Thousand","514",""
"2004","Former Yugoslav Republic of Macedonia, the","Thousand",":",""
"2004","Turkey","Thousand","79",""
"2005","Belgium","Thousand","468",""
"2005","Bulgaria","Thousand","333",""
"2005","Czechia","Thousand","387",""
"2005","Denmark","Thousand",":",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand","559",""
"2005","Estonia","Thousand","366",""
"2005","Ireland","Thousand","395",""
"2005","Greece","Thousand","391",""
"2005","Spain","Thousand",":",""
"2005","France","Thousand","476","d"
"2005","Croatia","Thousand","319",""
"2005","Italy","Thousand","597",""
"2005","Cyprus","Thousand","477",""
"2005","Latvia","Thousand","333",""
"2005","Lithuania","Thousand","442","d"
"2005","Luxembourg","Thousand","654",""
"2005","Hungary","Thousand","287",""
"2005","Malta","Thousand","525",""
"2005","Netherlands","Thousand","434",""
"2005","Austria","Thousand","504",""
"2005","Poland","Thousand","323",""
"2005","Portugal","Thousand",":",""
"2005","Romania","Thousand","158",""
"2005","Slovenia","Thousand","479",""
"2005","Slovakia","Thousand","243",""
"2005","Finland","Thousand","462","d"
"2005","Sweden","Thousand","459",""
"2005","United Kingdom","Thousand","467","d"
"2005","Iceland","Thousand","624","e"
"2005","Liechtenstein","Thousand","699",""
"2005","Norway","Thousand","437",""
